Volcano Name,Country,Latitude,Longitude,Elevation (m),Type,Status,Last Known Eruption,year,mo,dy,tsu,eq,vei,deaths,damage_mil,houses_destroyed,total_deaths,total_damage_mil
Taal,Philippines,14.002,120.993,311,Stratovolcano,Historical,D1,1754,11,28,2853,1328,4,,,,12,
Katla,Iceland,63.633,-19.083,1490,Subglacial volcano,Historical,D2,1755,10,17,,,4,2,,,2,
Sao Jorge,Portugal,38.65,-28.08,1053,Fissure vent,Historical,D2,1757,7,9,,1348,0,,,,1053,
Kie Besi,Indonesia,0.32,127.4,1357,Stratovolcano,Historical,D1,1760,,,,,4,2000,,,2000,
Klyuchevskoy,Russia,56.056,160.642,4754,Stratovolcano,Historical,D1,1762,,,,,2,,,,,
Hekla,Iceland,63.983,-19.666,1490,Stratovolcano,Historical,D1,1766,4,5,,,4,,,,,
Mayon,Philippines,13.257,123.685,2462,Stratovolcano,Historical,D1,1766,7,20,,,3,49,,,49,
Cotopaxi,Ecuador,-0.677,-78.436,5911,Stratovolcano,Historical,D2,1768,4,4,,,4,,,,,
Dempo,Indonesia,-4.016,103.121,3142,Stratovolcano,Historical,D1,1770,,,500,9532,,,,,,
Gamalama,Indonesia,0.8,127.33,1715,Stratovolcano,Historical,D1,1772,5,9,504,,3,35,,,35,
Papandayan,Indonesia,-7.32,107.73,2665,Stratovolcano,Historical,D2,1772,8,12,,,3,2957,,,2957,
Gamalama,Indonesia,0.8,127.33,1715,Stratovolcano,Historical,D1,1773,2,2,,,2,,,,,
Gamalama,Indonesia,0.8,127.33,1715,Stratovolcano,Historical,D1,1775,,,,,3,1300,,,1300,
Lokon-Empung,Indonesia,1.358,124.792,1580,Stratovolcano,Historical,D1,1775,,,,,3,,,,,
Raikoke,Russia,48.292,153.25,551,Stratovolcano,Historical,D2,1778,,,,,4,15,,,15,
Vesuvius,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,1779,8,8,,,2,,,,,
Aira,Japan,31.593,130.657,1117,Stratovolcano,Historical,D1,1779,11,8,,,4,153,,,153,
Aira,Japan,31.593,130.657,1117,Stratovolcano,Historical,D1,1780,2,9,,,4,,,,,
Aogashima,Japan,32.458,139.759,423,Stratovolcano,Historical,D4,1780,7,27,,,3,7,,,7,
Aira,Japan,31.593,130.657,1117,Stratovolcano,Historical,D1,1780,9,9,525,,4,,,,,
Aira,Japan,31.593,130.657,1117,Stratovolcano,Historical,D1,1780,10,31,528,,,,,,,
Aira,Japan,31.593,130.657,1117,Stratovolcano,Historical,D1,1781,4,11,529,,4,23,,,38,
Aogashima,Japan,32.458,139.759,423,Stratovolcano,Historical,D4,1783,4,10,,,3,7,,61,7,
Asamayama,Japan,36.406,138.523,2568,Complex volcano,Historical,D1,1783,8,5,,,4,1491,,,1491,
Grimsvotn,Iceland,64.416,-17.316,1719,Caldera,Historical,D1,1784,4,,,,4,,,,9350,
Coropuna,Peru,-15.52,-72.65,6377,Stratovolcano,Historical,D1,1784,7,,,,,,,,,
Hualalai,United States,19.692,-155.87,2523,Shield volcano,Historical,D3,1784,,,,,0,,,,,
Aogashima,Japan,32.458,139.759,423,Stratovolcano,Historical,D4,1785,4,18,,,3,135,,,135,
Dieng Volcanic Complex,Indonesia,-7.2,109.879,2565,Complex volcano,Historical,D1,1786,,,,,2,38,,,38,
Izu-Oshima,Japan,34.724,139.394,746,Stratovolcano,Historical,D1,1789,,,,,2,,,,,
Kilauea,United States,19.421,-155.287,1222,Shield volcano,Historical,D1,1790,11,,,,4,5405,,,5405,
Unzendake,Japan,32.761,130.299,1483,Complex volcano,Historical,D1,1792,5,21,568,1515,2,,,,15000,
Vesuvius,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,1794,6,15,,,3,400,,,400,
Aira,Japan,31.593,130.657,1117,Stratovolcano,Historical,D1,1797,,,577,,2,,,,,
Guntur,Indonesia,-7.143,107.841,2251,Complex volcano,Historical,D3,1800,10,8,,,,,,,,
Mayon,Philippines,13.257,123.685,2462,Stratovolcano,Historical,D1,1800,10,30,,,2,,,,,
Kyejo,Tanzania,-9.229,33.792,2176,Stratovolcano,Historical,D3,1800,,,,,2,,,,,
St. Helens,United States,46.2,-122.18,2549,Stratovolcano,Historical,D1,1800,,,,,5,,,,,
Hualalai,United States,19.692,-155.87,2523,Shield volcano,Historical,D3,1800,,,,,0,2,,,2,
Chokaisan,Japan,39.099,140.049,2236,Stratovolcano,Historical,D1,1801,8,14,,,2,8,,,8,
Asamayama,Japan,36.406,138.523,2568,Complex volcano,Historical,D1,1803,7,4,,,2,,,,,
Asamayama,Japan,36.406,138.523,2568,Complex volcano,Historical,D1,1803,11,7,,,2,,,,,
Shikotsu,Japan,42.688,141.38,1320,Caldera,Historical,D1,1804,,,,,3,,,,,
Vesuvius,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,1805,8,11,,,2,4,,,4,
Sao Jorge,Portugal,38.65,-28.08,1053,Fissure vent,Historical,D2,1808,5,1,,,1,9,,,9,
Soufriere St. Vincent,St. Vincent & the Grenadines,13.33,-61.18,1220,Stratovolcano,Historical,D1,1812,4,27,,,4,56,,,56,
Awu,Indonesia,3.689,125.447,1318,Stratovolcano,Historical,D1,1812,8,6,,,3,953,,,953,
Vesuvius,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,1813,5,,3221,,2,,,,,
Mayon,Philippines,13.257,123.685,2462,Stratovolcano,Historical,D1,1814,2,1,,,4,1200,,,1200,
Tambora,Indonesia,-8.25,118,2850,Stratovolcano,Historical,D1,1815,4,10,613,,7,11000,,,60000,
Asosan,Japan,32.884,131.104,1592,Caldera,Historical,D1,1816,7,5,,,2,1,,,1,
Ijen,Indonesia,-8.058,114.242,2769,Stratovolcano,Historical,D1,1817,1,24,,,2,,,90,,
Raung,Indonesia,-8.119,114.056,3260,Stratovolcano,Historical,D1,1817,,,,,4,,,,,
Colima,Mexico,19.514,-103.62,3850,Stratovolcano,Historical,D1,1818,2,5,,,4,,,,,
Asuncion,United States,19.671,145.406,857,Stratovolcano,Historical,D2,1819,,,623,,,,,,,
Westdahl,United States,54.516,-164.65,1563,Stratovolcano,Historical,D1,1820,3,1,631,6650,2,,,,,
Banda Api,Pacific Ocean,-4.523,129.881,596,Caldera,Historical,D1,1820,6,11,,,2,,,,,
Toya,Japan,42.544,140.839,733,Stratovolcano,Historical,D1,1822,3,9,,,4,50,,,50,
Galunggung,Indonesia,-7.25,108.058,2168,Stratovolcano,Historical,D1,1822,10,8,,,5,4011,,,4011,
Merapi,Indonesia,-7.54,110.446,2910,Stratovolcano,Historical,D1,1822,12,27,,,3,100,,,100,
Kilauea,United States,19.421,-155.287,1222,Shield volcano,Historical,D1,1823,2,,,,0,,,,,
Shishaldin,United States,54.756,-163.97,2857,Stratovolcano,Historical,D1,1825,3,21,654,,3,,,,,
Balbi,Papua New Guinea,-5.92,154.98,2715,Stratovolcano,Holocene,U,1825,,,,,,,,,,
Kelud,Indonesia,-7.935,112.314,1730,Stratovolcano,Historical,D1,1826,10,11,,,3,,,,,
Dieng Volcanic Complex,Indonesia,-7.2,109.879,2565,Complex volcano,Historical,D1,1826,10,11,,,2,,,,,
Asosan,Japan,32.884,131.104,1592,Caldera,Historical,D1,1826,10,,,,2,,,,,
Avachinsky,Russia,53.256,158.836,2717,Stratovolcano,Historical,D1,1827,6,27,663,6651,2,,,,,
Avachinsky,Russia,53.256,158.836,2717,Stratovolcano,Historical,D1,1827,8,9,,,2,,,,,
Guntur,Indonesia,-7.143,107.841,2251,Complex volcano,Historical,D3,1829,,,,,2,,,,,
Etna,Italy,37.748,14.999,3357,Stratovolcano,Historical,D1,1832,11,1,,,2,,,,,
